annotation_id,annotator,created_at,id,image,label,lead_time,updated_at
1,1,2026-03-19T15:07:13.793268Z,1,http://127.0.0.1:8000/1014800300_11_1_left.png,lion,6.8,2026-03-19T15:07:13.793268Z
2,1,2026-03-19T15:15:44.148919Z,2,http://127.0.0.1:8000/1014800300_11_1_right.png,horse,33.198,2026-03-19T15:17:27.621379Z
3,1,2026-03-19T15:18:03.819117Z,3,http://127.0.0.1:8000/1014800300_11_2_left.png,unicorn,15.611,2026-03-19T15:18:03.819117Z
4,1,2026-03-19T15:20:18.776146Z,4,http://127.0.0.1:8000/1014800300_11_2_right.png,bull,27.527,2026-03-19T15:20:18.776146Z
5,1,2026-03-19T15:26:15.942813Z,5,http://127.0.0.1:8000/1014800300_11_3_left.png,lion,3.311,2026-03-19T15:26:15.942813Z
6,1,2026-03-19T15:27:38.706773Z,6,http://127.0.0.1:8000/1014800300_11_3_right.png,dog_greyhound,3.705,2026-03-19T15:27:38.706773Z
7,1,2026-03-19T15:27:42.806490Z,7,http://127.0.0.1:8000/1014800300_11_4_left.png,unicorn,2.177,2026-03-19T15:27:42.806490Z
8,1,2026-03-19T15:29:30.824305Z,8,http://127.0.0.1:8000/1014800300_11_4_right.png,antelope,4.019,2026-03-19T15:29:30.824305Z
9,1,2026-03-19T15:29:37.940430Z,9,http://127.0.0.1:8000/1014800300_11_5_left.png,lion,4.621,2026-03-19T15:29:37.940430Z
10,1,2026-03-19T15:29:44.034832Z,10,http://127.0.0.1:8000/1014800300_11_5_right.png,dog_greyhound,3.646,2026-03-19T15:29:44.034832Z
11,1,2026-03-19T15:45:36.958936Z,11,http://127.0.0.1:8000/1014800300_11_6_left.png,jaguar,6.383,2026-03-19T15:45:36.958936Z
12,1,2026-03-19T15:45:39.850974Z,12,http://127.0.0.1:8000/1014800300_11_6_right.png,dragon,921.912,2026-03-19T15:45:39.850974Z
13,1,2026-03-19T15:45:47.392158Z,13,http://127.0.0.1:8000/1014800300_11_7_left.png,antelope,4.811,2026-03-19T15:45:47.392158Z
14,1,2026-03-19T15:45:56.648811Z,14,http://127.0.0.1:8000/1014800300_11_7_right.png,dog_greyhound,7.413,2026-03-19T15:45:56.648811Z
17,1,2026-03-19T15:47:02.002312Z,17,http://127.0.0.1:8000/1014800300_12_1_left.png,griffin,14.425,2026-03-19T16:14:10.550824Z
