,kingdom,label,proportion
67,Scotland,Wolf,0.013157894736842105
8,England,Wolf,0.04242424242424243
34,Ireland,Wolf,0.05536332179930796
49,Ireland,Water horse,0.0034602076124567475
20,England,Water horse,0.006060606060606061
35,Ireland,Unicorn,0.05190311418685121
61,Scotland,Unicorn,0.019736842105263157
7,England,Unicorn,0.046464646464646465
60,Scotland,Swan,0.019736842105263157
25,England,Swan,0.00202020202020202
17,England,Stork,0.00808080808080808
2,England,Stag deer,0.08484848484848485
53,Scotland,Stag deer,0.07236842105263158
28,Ireland,Stag deer,0.08996539792387544
48,Ireland,Sheep,0.0034602076124567475
19,England,Sheep,0.006060606060606061
69,Scotland,Sheep,0.006578947368421052
15,England,Pegasus,0.010101010101010102
36,Ireland,Pegasus,0.02768166089965398
66,Scotland,Ostrich,0.013157894736842105
41,Ireland,Ostrich,0.01384083044982699
14,England,Monkey,0.014141414141414142
47,Ireland,Lion fish,0.0034602076124567475
22,England,Lion fish,0.00404040404040404
27,Ireland,Lion,0.14878892733564014
51,Scotland,Lion,0.17105263157894737
0,England,Lion,0.20606060606060606
13,England,Jaguar,0.020202020202020204
31,Ireland,Jaguar,0.0657439446366782
65,Scotland,Jaguar,0.013157894736842105
26,Ireland,Human,0.17647058823529413
1,England,Human,0.14747474747474748
50,Scotland,Human,0.3026315789473684
30,Ireland,Horse,0.0657439446366782
56,Scotland,Horse,0.046052631578947366
11,England,Horse,0.03636363636363636
64,Scotland,Hare,0.013157894736842105
29,Ireland,Griffin,0.07612456747404844
52,Scotland,Griffin,0.08552631578947369
4,England,Griffin,0.06464646464646465
43,Ireland,Goat,0.006920415224913495
24,England,Elephant,0.00202020202020202
46,Ireland,Elephant,0.0034602076124567475
3,England,Eagle,0.06868686868686869
32,Ireland,Eagle,0.06228373702422145
54,Scotland,Eagle,0.05921052631578947
59,Scotland,Dragon,0.02631578947368421
10,England,Dragon,0.03636363636363636
33,Ireland,Dragon,0.05536332179930796
40,Ireland,Dog talbot,0.01384083044982699
6,England,Dog talbot,0.046464646464646465
58,Scotland,Dog talbot,0.02631578947368421
5,England,Dog greyhound,0.05858585858585859
55,Scotland,Dog greyhound,0.05263157894736842
38,Ireland,Dog greyhound,0.02422145328719723
39,Ireland,Doe deer,0.01384083044982699
16,England,Doe deer,0.00808080808080808
42,Ireland,Chicken,0.006920415224913495
45,Ireland,Bull,0.0034602076124567475
12,England,Bull,0.028282828282828285
63,Scotland,Bull,0.013157894736842105
44,Ireland,Boar,0.0034602076124567475
18,England,Boar,0.006060606060606061
68,Scotland,Boar,0.006578947368421052
23,England,Beaver,0.00202020202020202
62,Scotland,Bear,0.013157894736842105
21,England,Bear,0.00404040404040404
37,Ireland,Antelope,0.02422145328719723
57,Scotland,Antelope,0.02631578947368421
9,England,Antelope,0.04040404040404041
