,work_id,edition_estc_id,edition_document_id,title,remaining_title,publication_year,num_of_pages
0,X-heraldry in miniature,T185743,1014800300,Heraldry in miniature,"containing the arms, crests, supporters, and mottos of the peers and peeresses of England, Scotland, and Ireland. Likewise the arms of the present baronets of England. To which is prefixed an introductory tutor, shewing the art of blazon. The whole engraved on copper plates, and designed as a suitable companion to the Royal Calendar.",1777,44
1,1576-british compendium,N32743,1097700100,The British compendium,"or, rudiments of honour. Vol. I. In two parts. Containing, the genealogies of all the nobility of England, Their Titles, Posts, and Seats. Also Their Coronation Robes, with their arms, Crests, Supporters, and Motto's, exactly engraved on Copper Plates. To which is added, an account of the officers of state, the Institution and Investiture of several orders of knighthood, and lists of the said orders to the present Time.",1751,606
2,X-heraldry in miniature,T83865,1121900300,Heraldry in miniature,"containing all the arms, crests, supporters, and mottos, of the peers, peeresses, and bishops, of England, Scotland, and Ireland, with the baronets of Great Britain; and the insignia of the different orders of knighthood in the three kingdoms: Also an introduction to the science of heraldry, a dictionary of heraldic terms, as well as an index to all the peers, &amp;c. with the translation of their mottos: likewise a list of titles conferred by his present majesty, and those extinct since his Accession to the Throne.",1788,176
3,50365-grammar of heraldry or gentlemans vade mecum in which are laid down most plain and easy rules for more perfect understanding of that noble science than have ever hitherto been extant,T166154,1221100200,The grammar of heraldry,"or, gentleman's vade mecum, In which are laid down, The most Plain and Easy Rules, for the more perfect Understanding of that Noble Science, than have ever hitherto been Extant. Containing I. Rules of Blazoning, with Observations. II. Practical Directions for Marshalling. III. A large Alphabetical Collection of Arms, by way of Example. Together with two appendices: the whole adorn'd with proper cuts. By Samuel Kent, Gent. To which is now added, A Copious Dictionary, being a curious Explanation of all the Terms used in Heraldry, with Numerous References to illustrate the same.",1724,250
4,X-the heraldry of nature,T182327,1238001400,The heraldry of nature,"or, instructions for the King at Arms: comprising, the arms, supporters, crests, and mottos, in Latin, and with a translation, of the E-g-h peers, Blazoned from the Authority of Truth, and characteristically discriptive of the several Qualities that distinguish their present Possessors. To which are added several Samples, neatly etched by an eminent Engraver.",1785,96
5,X-heraldry in miniature,N17450,1274000200,Heraldry in miniature,"containing all the arms, crests, supporters and mottos of the peers, peeresses and bishops of England, Scotland and Ireland with the baronets of Great-Britain ... Also an introduction to the science of heraldry; a dictionary of heraldic terms; ...",1791,128
6,1576-british compendium,T77908,1712301301,"The British compendium: or, Rudiments of honour","Containing the titles, descents, marriages, issue, posts, and seats, of all the present nobility of England; with their robes, and arms exactly engrav'd on 130 copper plates; being all entirely new, and different from what has been done in any former impression. Likewise, the institution, creation, and investiture, of all degrees of peerage; and of several orders of knighthood, viz. the garter, thistle, baronet, and knight-batchelor: and lastly of esquires and gentlemen. To which is added, the antiquity of arms, their use, signification in their bearers, and rules how to blazon them; with atchievements, whereby to know what branch of the family is dead: all demonstrated by several curious cuts, never before inserted.",1723,560
7,3098-kearsleys complete peerage of england scotland and ireland together with extinct peerage of three kingdoms,T121551,117500500,Kearsley's complete peerage,"of England, Scotland and Ireland; together with an extinct peerage of the three Kingdoms, ...",1794,531
8,3098-kearsleys complete peerage of england scotland and ireland together with extinct peerage of three kingdoms,T121269,186600401,Kearsley's complete peerage,"of England, Scotland and Ireland; together with an extinct peerage of the three Kingdoms, List of all there Family Names, Title of Elder Sons, &amp;c. (and) Translation of their Mottos.",1799,632
9,3098-kearsleys complete peerage of england scotland and ireland together with extinct peerage of three kingdoms,T121279,764700201,Kearsley's complete peerage,"of England, Scotland and Ireland; together with an extinct peerage of the three Kingdoms, Of The three Kingdoms, List of all there Family Names, Titles of Elder Sons, &amp;c. (and) Translation of their Mottos.",1796,584
10,3098-kearsleys complete peerage of england scotland and ireland together with extinct peerage of three kingdoms,N63315,1359700100,"Kearsley's complete peerage, of England, Scotland and Ireland","together with an extinct peerage of the three kindgoms, list of all their family names, titles of elder sons, &amp;c. and translation of their mottos, including the blazonary of the arms.",1791,483
11,3098-kearsleys complete peerage of england scotland and ireland together with extinct peerage of three kingdoms,T167876,1587300601,"Kearsley's complete peerage, of England, Scotland and Ireland","together with an extinct peerage of the three kingdoms, list of all their family names, titles of elder sons, &amp;c. and translation of their mottos.",1800,548
12,3098-kearsleys complete peerage of england scotland and ireland together with extinct peerage of three kingdoms,T167876,1587300602,"Kearsley's complete peerage, of England, Scotland and Ireland","together with an extinct peerage of the three kingdoms, list of all their family names, titles of elder sons, &amp;c. and translation of their mottos.",1800,548
